participant_number,no_of_actions,time_query,time_on_serp,time_on_documents,time_session_overall,serp_page_viewed_to,document_click_count,document_click_depth,document_hover_count_raw,document_hover_count,document_hover_depth,ad_hover_count,ad_hover_count_top,ad_hover_count_side,ad_hover_count_bot,ad_click_count,depth,time_per_snippet,time_per_document,query_length,query_tokens_count,NC_binary
1,178,3.34,27.76,0,31.2,1,0,0,5,3,10,0,0,0,0,0,3,9.253333333,0,14,2,1
1,216,12.71,27.71,39.84,81.07,1,2,5,8,5,5,3,2,0,1,0,5,5.542,19.91004498,22,3,1
1,178,2.44,97.89,153.25,255.82,3,6,22,33,19,24,0,0,0,0,0,22,4.449545455,25.53741043,21,3,1
1,216,5.7,109.08,85.87,222.29,3,3,21,13,12,23,11,7,3,1,1,21,5.194285714,28.6137954,19,2,1
1,216,1.89,57.35,69.8,130.89,3,2,23,8,7,27,7,5,1,1,0,23,2.493478261,34.88255872,26,3,1
1,163,5.44,98.81,230.63,337.66,3,6,25,29,15,30,13,8,4,1,0,25,3.9524,38.43192801,16,2,1
1,188,4.9,32.85,77.6,115.93,2,2,14,6,6,14,4,3,0,1,0,14,2.346428571,38.7806097,21,2,1
1,188,4.03,48.95,84.28,137.7,2,2,14,7,7,14,7,4,2,1,0,14,3.496428571,42.11894053,21,2,1
1,188,3.67,48.48,169.46,222.21,2,2,16,14,12,20,5,4,0,1,0,16,3.03,84.68765617,15,2,1
2,172,8.42,14.37,0,23.05,1,0,0,4,4,5,2,2,0,0,0,4,3.5925,0,29,3,1
2,177,10.8,21.96,0,32.99,1,0,0,7,7,7,0,0,0,0,0,7,3.137142857,0,42,6,1
2,155,2.96,11.89,0,15.72,1,0,0,4,4,8,2,2,0,0,0,4,2.9725,0,34,4,1
2,245,3.78,14.05,0,18.19,1,0,0,7,7,7,2,2,0,0,0,7,2.007142857,0,25,3,1
2,172,6.61,4.69,0,12.12,1,0,0,2,2,2,2,2,0,0,0,3,1.563333333,0,37,4,1
2,177,7.32,4.03,0,11.63,1,0,0,0,0,0,0,0,0,0,0,3,1.343333333,0,33,5,1
2,172,10.57,0,0,10.57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,38,4,1
2,245,10.61,12.3,16.56,42.38,1,2,3,4,3,3,6,6,0,0,0,3,4.1,8.275862069,31,4,1
2,177,9.8,18.85,8.36,37.53,1,1,1,6,5,8,0,0,0,0,0,5,3.77,8.351648352,43,6,1
2,177,22.38,7.46,10.93,50.88,1,1,6,5,5,6,0,0,0,0,0,6,1.243333333,10.91908092,15,2,1
2,245,17.51,28.43,32.93,91.56,1,3,6,10,5,6,12,10,2,0,0,6,4.738333333,10.973009,38,4,1
2,172,0.26,0.03,12.76,26.55,1,1,1,1,1,1,2,2,0,0,0,3,0.01,12.74725275,38,4,1
2,172,3.95,7.71,15.69,27.9,1,1,3,3,3,3,3,3,0,0,0,3,2.57,15.67432567,36,4,1
2,172,1.96,8.74,22.93,34.94,1,1,2,2,2,2,3,2,1,0,0,3,2.913333333,22.90709291,35,4,1
2,155,3.44,7.53,25.07,46.63,1,1,1,2,1,1,4,4,0,0,0,3,2.51,25.04495504,28,4,1
2,155,11.22,23.08,77.8,113.7,1,3,4,15,5,5,13,10,3,0,0,5,4.616,25.92469177,25,3,1
2,245,12.39,29.78,83.6,129.67,1,3,10,14,10,10,11,11,0,0,0,10,2.978,27.85738087,33,4,1
2,172,6.36,18.42,31.71,59.52,1,1,2,3,2,2,4,3,1,0,0,3,6.14,31.67832168,41,5,1
3,443,2.26,84.5,0,87.29,1,0,0,15,9,10,2,2,0,0,0,9,9.388888889,0,35,4,0
3,443,2.75,84.91,0,87.79,1,0,0,19,8,8,4,4,0,0,0,8,10.61375,0,24,3,0
3,443,8.24,20.51,0,29.39,1,0,0,5,5,5,1,1,0,0,0,5,4.102,0,28,4,0
3,437,12.27,8.19,0,20.66,1,0,0,2,2,4,0,0,0,0,0,3,2.73,0,17,3,0
3,437,4.54,15.09,0,20.12,1,0,0,6,5,5,0,0,0,0,0,5,3.018,0,19,3,0
3,561,15.18,16.1,0,31.73,1,0,0,9,7,9,1,1,0,0,0,7,2.3,0,40,4,0
3,443,7.63,5.36,0,13.09,1,0,0,1,1,1,2,2,0,0,0,3,1.786666667,0,19,2,0
3,561,3.3,25.67,0,30.45,3,0,0,17,15,24,5,3,0,2,0,15,1.711333333,0,44,5,0
3,443,1.5,4.4,0,6.02,1,0,0,0,0,0,0,0,0,0,0,3,1.466666667,0,19,2,0
3,437,8.29,5.55,0,14.66,1,0,0,4,3,3,0,0,0,0,0,3,1.85,0,27,4,0
3,437,5.11,3.81,0,9.05,1,0,0,0,0,0,0,0,0,0,0,3,1.27,0,12,2,0
3,561,4.1,22.49,0,27.69,2,0,0,18,16,18,2,1,0,1,0,16,1.405625,0,40,4,0
3,443,10,11.12,0,21.66,1,0,0,9,7,8,2,2,0,0,0,7,1.588571429,0,29,3,0
3,443,10.82,15.19,0,26.25,2,0,0,13,11,16,2,1,0,1,0,11,1.380909091,0,15,2,0
3,561,8.1,3.21,0,11.52,1,0,0,0,0,0,0,0,0,0,0,3,1.07,0,38,4,0
3,561,1.54,6.89,0,8.69,1,0,0,7,4,5,2,2,0,0,0,4,1.7225,0,30,3,0
3,437,10.4,2.72,0,13.33,1,0,0,0,0,0,0,0,0,0,0,3,0.906666667,0,19,3,0
3,301,1.77,35.85,9.3,47.55,1,1,7,21,10,10,4,3,0,1,0,10,3.585,9.290709291,28,4,0
3,437,2.46,126.92,58.68,206.4,4,6,28,59,29,36,0,0,0,0,0,29,4.376551724,9.778370272,16,2,0
3,437,5.85,41.6,46.7,94.7,2,4,20,24,17,20,0,0,0,0,0,20,2.08,11.67208198,14,2,0
3,561,3.34,45.73,60.03,113.23,4,4,34,39,29,35,15,11,0,4,0,34,1.345,15.00374906,49,5,0
3,561,2.18,76.98,31.53,122.06,3,2,17,21,16,23,7,3,0,4,0,17,4.528235294,15.75712144,35,4,0
3,301,13.71,24.99,32.87,83.1,1,2,7,15,5,8,9,9,0,0,0,7,3.57,16.42678661,35,4,0
3,443,6.22,30.11,17.36,55.1,2,1,8,17,12,16,3,2,0,1,0,12,2.509166667,17.34265734,24,3,0
3,301,9.73,31.96,55,115.5,1,3,9,22,9,9,9,9,0,0,0,9,3.551111111,18.32722426,25,3,0
3,443,2.16,23.29,19.89,47.39,2,1,4,18,12,13,6,1,4,1,0,12,1.940833333,19.87012987,35,4,0
3,437,1.62,8.14,22.69,32.92,1,1,3,3,3,3,0,0,0,0,0,3,2.713333333,22.66733267,19,3,0
3,561,2.5,23.49,22.74,52.44,1,1,7,13,7,7,3,1,0,2,0,7,3.355714286,22.71728272,37,4,0
3,443,3.17,40.28,64.53,114.54,2,2,16,21,14,18,6,5,0,1,0,16,2.5175,32.24887556,19,3,0
3,561,1.2,16.83,64.62,84.03,1,2,3,10,4,9,3,3,0,0,0,4,4.2075,32.29385307,39,4,0
3,301,9.38,9.34,93.57,113.05,1,1,1,1,1,1,2,1,0,1,0,3,3.113333333,93.47652348,25,3,0
3,301,2.62,15.37,107.62,185.11,1,1,1,9,4,4,2,1,0,1,0,4,3.8425,107.5124875,26,3,0
4,255,13.91,24.89,0,40.92,1,0,0,5,5,10,1,1,0,0,0,5,4.978,0,48,7,1
4,180,4.28,5.31,0,9.76,1,0,0,2,2,2,0,0,0,0,0,3,1.77,0,30,3,1
4,280,4.55,15.17,0,19.87,1,0,0,9,8,9,2,2,0,0,0,8,1.89625,0,20,3,1
4,230,6.4,4.55,0,11.48,1,0,0,0,0,0,0,0,0,0,0,3,1.516666667,0,32,4,1
4,180,1.47,1.48,0,3.2,1,0,0,0,0,0,0,0,0,0,0,3,0.493333333,0,46,4,1
4,230,10.4,29.82,9.35,61.39,1,2,5,2,2,2,2,2,0,0,0,5,5.964,4.672663668,45,6,1
4,280,6.1,12.91,19.88,39.13,1,2,4,7,3,4,7,4,3,0,0,4,3.2275,9.935032484,16,2,1
4,230,5.99,22.26,44.71,74.45,1,3,9,7,6,9,6,3,3,0,0,9,2.473333333,14.89836721,45,7,1
4,180,5.7,35.27,48.01,91.54,2,3,11,11,9,13,0,0,0,0,0,11,3.206363636,15.99800067,50,5,1
4,255,10.64,31.59,75.62,121.25,1,4,7,14,7,7,11,5,6,0,0,7,4.512857143,18.90027493,45,6,1
4,255,2.13,16.29,23.03,55.29,1,1,6,10,6,6,2,2,0,0,0,6,2.715,23.00699301,51,7,1
4,280,8.79,21.5,72.52,103.86,2,2,10,9,6,12,8,4,3,1,0,10,2.15,36.24187906,35,5,1
4,280,7.03,19.51,73.77,102.95,1,2,3,9,3,3,4,2,2,0,0,3,6.503333333,36.86656672,33,6,1
4,230,6.75,22.23,84.39,114.41,1,2,10,12,9,10,5,3,1,1,0,10,2.223,42.17391304,25,3,1
4,280,9.22,10.78,86.28,107.16,1,2,3,3,2,3,5,4,1,0,0,3,3.593333333,43.11844078,33,4,1
4,255,7.23,17.18,93.38,120.33,1,2,2,9,3,3,4,3,1,0,0,3,5.726666667,46.66666667,41,5,1
4,280,2.45,14.29,53.55,71.76,1,1,1,2,1,1,4,3,1,0,0,3,4.763333333,53.4965035,51,8,1
4,180,2.65,35.1,165.36,204.58,1,3,4,5,3,4,0,0,0,0,0,4,8.775,55.10163279,39,4,1
4,255,11.21,13.99,112.38,139.06,1,2,7,8,7,7,4,1,3,0,0,7,1.998571429,56.16191904,45,5,1
4,230,1.52,6.25,61.85,70.24,1,1,1,1,1,1,2,1,1,0,0,3,2.083333333,61.78821179,25,3,1
4,230,2.19,19.52,126.51,149.01,1,1,4,9,4,4,5,2,3,0,0,4,4.88,126.3836164,28,4,1
5,377,2.02,7.93,0,10.17,1,0,0,2,1,1,4,3,1,0,0,3,2.643333333,0,30,3,1
5,349,1.93,7.45,0,262.53,1,0,0,0,0,0,1,1,0,0,0,3,2.483333333,0,18,2,1
5,349,2.79,0.93,0,4.02,1,0,0,0,0,0,0,0,0,0,0,3,0.31,0,17,2,1
5,377,4.54,7.47,6.61,18.95,1,1,1,3,2,3,4,4,0,0,0,3,2.49,6.603396603,21,2,1
5,155,1.3,31.69,64.19,98.47,1,4,10,7,6,10,0,0,0,0,0,10,3.169,16.04348913,22,3,1
5,377,2.27,20.29,68.18,92.24,1,4,9,14,9,9,14,12,2,0,0,9,2.254444444,17.04073982,28,3,1
5,208,2.77,36.73,70.68,110.43,1,4,7,11,6,7,13,8,4,1,0,7,5.247142857,17.6655836,7,1,1
5,377,1.01,19.32,20.65,41.28,1,1,3,2,2,3,5,5,0,0,0,3,6.44,20.62937063,18,2,1
5,349,5.97,26.86,41.77,75.53,2,2,15,16,14,15,8,7,0,1,0,15,1.790666667,20.87456272,17,2,1
5,377,2.21,39.11,99.89,143.05,2,4,20,18,15,20,14,10,3,1,0,20,1.9555,24.96625844,26,3,1
5,208,2.71,15.46,25,46.47,1,1,9,8,8,9,3,3,0,0,0,9,1.717777778,24.97502498,14,2,1
5,349,2.9,12.98,51.28,67.72,1,2,6,7,6,6,7,7,0,0,0,6,2.163333333,25.62718641,18,2,1
5,349,7.92,34.15,156.82,201.31,1,6,8,13,8,8,19,12,6,1,0,8,4.26875,26.13231128,18,2,1
5,349,3,7.5,36.51,47.29,1,1,1,4,2,2,5,5,0,0,0,3,2.5,36.47352647,18,2,1
5,377,1.23,27.74,148.38,179.09,1,4,9,11,8,10,14,11,3,0,0,9,3.082222222,37.08572857,29,3,1
5,155,3.62,5.58,105.69,133.83,1,2,2,3,2,2,0,0,0,0,0,3,1.86,52.8185907,24,3,1
5,155,4.04,30.53,214.86,251.03,1,4,8,6,6,8,0,0,0,0,0,8,3.81625,53.70157461,24,3,1
5,349,5.37,6.76,61.38,73.83,1,1,1,4,2,3,6,5,1,0,0,3,2.253333333,61.31868132,19,2,1
5,208,2.13,25.31,139.26,166.97,1,2,2,12,10,10,9,8,1,0,0,10,2.531,69.5952024,9,1,1
6,208,7.01,5.89,0,14.36,1,0,0,3,2,2,3,3,0,0,0,3,1.963333333,0,57,7,0
